"product_id","name","category","price"
"1","Kente Cloth Scarf","Fashion","25.50"
"2","Jollof Rice Spice Mix","Groceries","5.99"
"3","Shea Butter (Unrefined)","Beauty","12.00"
"4","Hand-carved Makonde Figurine","Art & Decor","75.00"
"5","AfroBeats Vinyl Record","Music","30.25"
"6","Bogolan (Mud Cloth) Wall Hanging","Art & Decor","120.00"
"7","Ethiopian Yirgacheffe Coffee Beans","Groceries","18.75"
"8","Ankara Print Fabric (6 Yards)","Crafts","45.00"
"9","Tagine Pot (Medium)","Kitchenware","55.60"
"10","Beaded Maasai Necklace","Jewelry","35.00"
"11","Fufu Flour Mix","Groceries","7.50"
"12","Adire Tie-Dye T-Shirt","Apparel","22.99"
"13","Udu Drum","Musical Instruments","90.00"
"14","Rooibos Tea (Organic)","Groceries","9.20"
"15","African Black Soap","Beauty","8.50"
"16","Shweshwe Print Cushion Cover","Home Goods","19.99"
"17","Soukous Guitar Loops (Digital)","Music Production","15.00"
"18","Berbere Spice Blend","Groceries","6.75"
"19","Handwoven Bolga Basket","Home Goods","40.00"
"20","Kikoy Beach Towel","Lifestyle","28.50"
"21","Palm Wine (Bottled)","Beverages","12.30"
"22","Chin Chin Snacks (Bag)","Snacks","4.99"
"23","Dashiki Shirt","Apparel","38.00"
"24","Zulu Shield Replica (Small)","Collectibles","65.00"
"25","Baobab Powder (Organic)","Health","22.15"
"26","Agbada (Embroidered)","Apparel","150.00"
"27","Kenyan Coffee Mug","Kitchenware","14.95"
"28","Mancala Board Game (Wooden)","Games","33.00"
"29","Moroccan Argan Oil","Beauty","28.70"
"30","Thieboudienne Recipe E-book","Digital Goods","9.99"
"31","Handmade Raffia Coasters (Set of 4)","Home Goods","16.50"
"32","Nollywood Classic DVD Collection","Entertainment","59.99"
"33","Cowrie Shell Anklet","Jewelry","12.80"
"34","Sorghum Malt","Groceries","10.50"
"35","Ethiopian Opal Pendant","Jewelry","250.00"