"store_id","name","region"
"1","Accra Central Market Finds","West Africa"
"2","Nairobi Arts & Crafts Hub","East Africa"
"3","Lagos Island Emporium","West Africa"
"4","Cape Town Treasures","Southern Africa"
"5","Addis Mercato Online","East Africa"
"6","Dakar Souvenirs & Spices","West Africa"
"7","Kigali Modern Living","East Africa"
"8","Joburg Style Collective","Southern Africa"
"9","Cairo Bazaar Exclusives","North Africa"
"10","Abidjan Fabric World","West Africa"
"11","Dar es Salaam Curios","East Africa"
"12","Gaborone Gems","Southern Africa"
"13","Yaounde Home Decor","Central Africa"
"14","Kumasi Gold Coast Goods","West Africa"
"15","Mombasa Coastal Wares","East Africa"
"16","Windhoek Desert Designs","Southern Africa"
"17","Alexandria Antiquities","North Africa"
"18","Ouagadougou Bronze & Beats","West Africa"
"19","Kampala Coffee Corner","East Africa"
"20","Harare Artisan Market","Southern Africa"
"21","Casablanca Medina Mart","North Africa"
"22","Freetown Heritage Shop","West Africa"
"23","Antananarivo Island Crafts","East Africa"
"24","Lusaka Local Picks","Southern Africa"
"25","Tunis Souk Selections","North Africa"
"26","Bamako Textile Traditions","West Africa"
"27","Bujumbura Lakeview Goods","East Africa"
"28","Maputo Coastal Charms","Southern Africa"
"29","Algiers City Center Finds","North Africa"
"30","Conakry Portside Products","West Africa"
"31","Lilongwe Lake Malawi Treasures","East Africa"
"32","Pretoria Jacaranda Boutique","Southern Africa"
"33","Tripoli Old City Wares","North Africa"
"34","Porto-Novo Lagoon Goods","West Africa"
"35","Asmara Highland Crafts","East Africa"